Individual,rhizome_0_else_lateral_1,internode_length
1,0,12
1,0,17
1,0,27
1,0,36
1,0,35
1,0,35
1,0,32
1,0,35
1,0,31
1,0,32
1,0,32
1,0,31
1,0,28
1,0,27
1,0,23
1,0,19
1,1,18
1,1,18
1,1,19
1,1,16
1,1,10
1,1,9
1,1,15
1,1,11
1,1,16
1,1,22
1,1,19
1,1,20
1,1,15
1,1,13
1,1,9
1,1,11
1,1,17
1,1,15
1,1,18
1,1,17
1,1,12
1,1,13
1,1,12
1,1,9
2,0,22
2,0,34
2,0,26
2,0,48
2,0,21
2,0,61
2,0,12
2,0,70
2,0,60
2,0,40
2,0,34
2,0,36
2,0,35
2,0,35
2,0,28
2,0,28
2,0,24
2,0,22
2,0,20
2,0,21
2,0,13
2,0,12
2,1,21
2,1,19
2,1,28
