date_stamp,number_of_sampled_rhizome,number_internodes_in_rhizome,new_leaves_number,number_final_branches,number_initial_branches,new_branches_per_branch,date
730331,1,13,1,6,5,0.2,1999-07-30
730331,2,22,2,7,3,1.333333333,1999-07-30
730331,3,12,2,5,2,1.5,1999-07-30
730331,4,17,3,3,1,2,1999-07-30
730331,5,21,2,5,3,0.666666667,1999-07-30
730331,6,21,1,7,3,1.333333333,1999-07-30
730331,7,19,2,3,3,0,1999-07-30
730331,8,28,2,3,1,2,1999-07-30
730331,9,19,2,6,2,2,1999-07-30
730331,10,13,3,3,2,0.5,1999-07-30
730331,11,17,2,6,4,0.5,1999-07-30
730331,12,24,1,4,2,1,1999-07-30
730331,13,12,1,3,2,0.5,1999-07-30
730331,14,11,1,3,2,0.5,1999-07-30
730331,15,9,1,6,2,2,1999-07-30
730331,16,16,2,4,3,0.333333333,1999-07-30
730331,18,10,2,3,3,0,1999-07-30
730331,19,13,2,6,2,2,1999-07-30
730345,1,20,2,6,6,0,1999-08-13
730345,2,12,2,12,7,0.714285714,1999-08-13
730345,3,11,1,4,3,0.333333333,1999-08-13
730345,4,19,1,6,6,0,1999-08-13
730345,6,21,2,6,5,0.2,1999-08-13
730345,8,27,1,3,3,0,1999-08-13
730345,9,23,2,8,8,0,1999-08-13
730345,10,24,3,3,3,0,1999-08-13
730345,11,27,2,5,3,0.666666667,1999-08-13
730345,12,16,3,3,3,0,1999-08-13
730345,13,20,2,1,1,0,1999-08-13
730345,14,18,1,3,3,0,1999-08-13
730345,15,18,2,4,2,1,1999-08-13
730345,16,21,2,7,3,1.333333333,1999-08-13
730345,18,14,2,7,3,1.333333333,1999-08-13
730345,19,17,2,3,2,0.5,1999-08-13
730345,20,20,1,3,3,0,1999-08-13
730359,2,21,2,3,4,-0.25,1999-08-27
730359,3,15,1,4,3,0.333333333,1999-08-27
730359,4,14,1,4,2,1,1999-08-27
730359,5,20,1,5,3,0.666666667,1999-08-27
