date_stamp,number_of_sampled_rhizome,number_internodes_in_rhizome,new_leaves_number,number_final_branches,number_initial_branches,new_branches_per_branch,SST,SSTA,irradiance,exposition_hours,date
730489,1,21,1,6,5,0.2,15.5,-0.717787385,51.307,0,04/01/2000
730489,2,16,2,3,3,0,15.5,-0.717787385,51.307,0,04/01/2000
730489,3,19,1,7,2,2.5,15.5,-0.717787385,51.307,0,04/01/2000
730489,4,14,1,3,3,0,15.5,-0.717787385,51.307,0,04/01/2000
730489,6,13,1,3,4,-0.25,15.5,-0.717787385,51.307,0,04/01/2000
730489,7,12,1,3,4,-0.25,15.5,-0.717787385,51.307,0,04/01/2000
730489,8,17,3,3,2,0.5,15.5,-0.717787385,51.307,0,04/01/2000
730489,9,17,1,7,4,0.75,15.5,-0.717787385,51.307,0,04/01/2000
730489,10,19,3,5,4,0.25,15.5,-0.717787385,51.307,0,04/01/2000
730489,11,16,2,4,3,0.333333333,15.5,-0.717787385,51.307,0,04/01/2000
730489,12,22,1,6,4,0.5,15.5,-0.717787385,51.307,0,04/01/2000
730489,14,18,3,4,4,0,15.5,-0.717787385,51.307,0,04/01/2000
730489,15,18,3,4,3,0.333333333,15.5,-0.717787385,51.307,0,04/01/2000
730489,16,13,2,3,3,0,15.5,-0.717787385,51.307,0,04/01/2000
730489,17,23,3,5,4,0.25,15.5,-0.717787385,51.307,0,04/01/2000
730489,18,14,1,5,3,0.666666667,15.5,-0.717787385,51.307,0,04/01/2000
730489,19,27,1,5,2,1.5,15.5,-0.717787385,51.307,0,04/01/2000
730489,20,16,1,4,2,1,15.5,-0.717787385,51.307,0,04/01/2000
730502,1,21,2,7,5,0.4,16.5,-0.5407511,52.918,0,17/01/2000
730502,2,25,2,9,3,2,16.5,-0.5407511,52.918,0,17/01/2000
730502,3,12,2,10,2,4,16.5,-0.5407511,52.918,0,17/01/2000
730502,4,14,2,7,4,0.75,16.5,-0.5407511,52.918,0,17/01/2000
730502,5,14,2,3,2,0.5,16.5,-0.5407511,52.918,0,17/01/2000
730502,6,23,2,2,1,1,16.5,-0.5407511,52.918,0,17/01/2000
730502,7,28,3,6,3,1,16.5,-0.5407511,52.918,0,17/01/2000
730502,8,23,1,8,3,1.666666667,16.5,-0.5407511,52.918,0,17/01/2000
730502,9,24,1,8,5,0.6,16.5,-0.5407511,52.918,0,17/01/2000
