date_stamp,rhizome_number,Numbrer_of_internodes_in_rhizome,length_of_internode,SST,SSTA,irradiance,exposition_hours,date
730303,1,16,18,NaN,0.053025309,110.123,51,1999-07-02
730303,1,16,19,NaN,0.053025309,110.123,51,1999-07-02
730303,2,16,8,NaN,0.053025309,110.123,51,1999-07-02
730303,2,16,30,NaN,0.053025309,110.123,51,1999-07-02
730303,2,16,32,NaN,0.053025309,110.123,51,1999-07-02
730303,3,17,12,NaN,0.053025309,110.123,51,1999-07-02
730303,3,17,12,NaN,0.053025309,110.123,51,1999-07-02
730303,4,11,13,NaN,0.053025309,110.123,51,1999-07-02
730303,4,11,15,NaN,0.053025309,110.123,51,1999-07-02
730303,5,14,31,NaN,0.053025309,110.123,51,1999-07-02
730303,5,14,16,NaN,0.053025309,110.123,51,1999-07-02
730303,6,9,19,NaN,0.053025309,110.123,51,1999-07-02
730303,6,9,15,NaN,0.053025309,110.123,51,1999-07-02
730303,7,17,19,NaN,0.053025309,110.123,51,1999-07-02
730303,7,17,17,NaN,0.053025309,110.123,51,1999-07-02
730303,8,14,26,NaN,0.053025309,110.123,51,1999-07-02
730303,8,14,26,NaN,0.053025309,110.123,51,1999-07-02
730303,8,14,19,NaN,0.053025309,110.123,51,1999-07-02
730303,9,13,15,NaN,0.053025309,110.123,51,1999-07-02
730303,9,13,10,NaN,0.053025309,110.123,51,1999-07-02
730303,10,21,22,NaN,0.053025309,110.123,51,1999-07-02
730303,10,21,24,NaN,0.053025309,110.123,51,1999-07-02
730303,11,14,26,NaN,0.053025309,110.123,51,1999-07-02
730303,12,12,22,NaN,0.053025309,110.123,51,1999-07-02
730303,12,12,24,NaN,0.053025309,110.123,51,1999-07-02
730303,13,23,38,NaN,0.053025309,110.123,51,1999-07-02
730303,13,23,34,NaN,0.053025309,110.123,51,1999-07-02
730303,14,22,15,NaN,0.053025309,110.123,51,1999-07-02
730303,14,22,29,NaN,0.053025309,110.123,51,1999-07-02
730303,15,12,22,NaN,0.053025309,110.123,51,1999-07-02
