Date,Rhizome,Internode number,Internode length
26/02/2018,R1,1,8.0
26/02/2018,R1,2,8.0
26/02/2018,R1,3,7.0
26/02/2018,R1,4,5.0
26/02/2018,R1,5,6.0
26/02/2018,R1,6,6.0
26/02/2018,R1,7,8.0
26/02/2018,R1,8,7.0
26/02/2018,R1,9,9.0
26/02/2018,R1,10,5.0
26/02/2018,R1,11,12.03615774007466
26/02/2018,R1,12,31.411952002828848
26/02/2018,R1,13,14.797827982361166
26/02/2018,R1,14,12.461625506453966
26/02/2018,R1,15,33.91214548877651
26/02/2018,R2,1,12.0
26/02/2018,R2,2,13.0
26/02/2018,R2,3,12.0
26/02/2018,R2,4,12.0
26/02/2018,R2,5,15.0
26/02/2018,R2,6,11.0
26/02/2018,R2,7,10.0
26/02/2018,R2,8,10.0
26/02/2018,R2,9,17.0
26/02/2018,R2,10,17.0
26/02/2018,R2,11,14.0
26/02/2018,R2,12,14.0
26/02/2018,R2,13,16.0
26/02/2018,R2,14,20.0
26/02/2018,R2,15,21.0
26/02/2018,R2,16,18.0
26/02/2018,R2,17,17.0
26/02/2018,R2,18,11.0
26/02/2018,R2,19,11.0
26/02/2018,R2,20,11.0
26/02/2018,R2,21,10.0
26/02/2018,R2,22,27.422719999216167
26/02/2018,R3,1,13.0
26/02/2018,R3,2,17.0
26/02/2018,R3,3,14.0
26/02/2018,R3,4,17.0
26/02/2018,R3,5,10.0
26/02/2018,R3,6,11.0
26/02/2018,R3,7,9.0
26/02/2018,R3,8,7.0
26/02/2018,R3,9,17.903590219332294
26/02/2018,R3,10,30.413513124985112
26/02/2018,R3,11,21.854288343837688
26/02/2018,R3,12,20.493072214231017
26/02/2018,R4,1,7.0
26/02/2018,R4,2,6.0
26/02/2018,R4,3,6.0
26/02/2018,R4,4,4.0
26/02/2018,R4,5,4.0
26/02/2018,R4,6,19.080594584616556
26/02/2018,R4,7,16.95394773516955
26/02/2018,R4,8,17.584535567575394
26/02/2018,R4,9,21.410549563650143
26/02/2018,R5,1,17.0
26/02/2018,R5,2,19.0
26/02/2018,R5,3,20.0
26/02/2018,R5,4,21.0
26/02/2018,R5,5,19.0
26/02/2018,R5,6,16.0
26/02/2018,R5,7,14.0
26/02/2018,R5,8,10.0
26/02/2018,R5,9,16.0
26/02/2018,R5,10,20.0
26/02/2018,R5,11,18.0
26/02/2018,R5,12,16.0
26/02/2018,R5,13,9.0
26/02/2018,R5,14,13.0
26/02/2018,R5,15,20.0
26/02/2018,R5,16,20.855183953183406
26/02/2018,R5,17,23.579675139094924
26/02/2018,R5,18,26.502204145227807
26/02/2018,R5,19,20.701727537325397
26/02/2018,R6,1,10.0
26/02/2018,R6,2,10.0
26/02/2018,R6,3,7.0
26/02/2018,R6,4,8.0
26/02/2018,R6,5,9.0
26/02/2018,R6,6,8.0
26/02/2018,R6,7,9.0
26/02/2018,R6,8,11.0
26/02/2018,R6,9,9.0
26/02/2018,R6,10,8.0
26/02/2018,R6,11,7.0
26/02/2018,R6,12,9.0
26/02/2018,R6,13,5.0
26/02/2018,R6,14,8.0
26/02/2018,R6,15,8.0
26/02/2018,R6,16,25.351056665596968
