Date,Rhizome,Internode number,Internode length
04/01/2000,R1,1,21.0
04/01/2000,R1,2,25.0
04/01/2000,R1,3,17.0
04/01/2000,R1,4,20.0
04/01/2000,R1,5,20.0
04/01/2000,R1,6,25.0
04/01/2000,R1,7,25.0
04/01/2000,R1,8,32.0
04/01/2000,R1,9,24.0
04/01/2000,R1,10,20.0
04/01/2000,R1,11,20.0
04/01/2000,R1,12,28.0
04/01/2000,R1,13,27.0
04/01/2000,R1,14,27.0
04/01/2000,R1,15,29.0
04/01/2000,R1,16,29.0
04/01/2000,R1,17,31.0
04/01/2000,R1,18,8.332658142738952
04/01/2000,R1,19,5.164085447483204
04/01/2000,R2,1,10.0
04/01/2000,R2,2,8.0
04/01/2000,R2,3,10.0
04/01/2000,R2,4,10.0
04/01/2000,R2,5,10.0
04/01/2000,R2,6,10.0
04/01/2000,R2,7,11.0
04/01/2000,R2,8,11.0
04/01/2000,R2,9,15.0
04/01/2000,R2,10,15.0
04/01/2000,R2,11,13.0
04/01/2000,R2,12,7.0
04/01/2000,R2,13,11.203592006203952
04/01/2000,R2,14,12.401564135038255
04/01/2000,R3,1,10.0
04/01/2000,R3,2,10.0
04/01/2000,R3,3,12.0
04/01/2000,R3,4,17.0
04/01/2000,R3,5,17.0
04/01/2000,R3,6,17.0
04/01/2000,R3,7,13.0
04/01/2000,R3,8,15.0
04/01/2000,R3,9,10.0
04/01/2000,R3,10,10.0
04/01/2000,R3,11,15.0
04/01/2000,R3,12,10.0
04/01/2000,R3,13,10.0
04/01/2000,R3,14,20.959555908374906
04/01/2000,R3,15,16.505192811388554
04/01/2000,R3,16,11.843873470415758
04/01/2000,R3,17,23.063120822442396
04/01/2000,R3,18,7.650520857723297
04/01/2000,R3,19,16.18434855099092
04/01/2000,R4,1,7.0
04/01/2000,R4,2,10.0
04/01/2000,R4,3,15.0
04/01/2000,R4,4,17.0
04/01/2000,R4,5,15.0
04/01/2000,R4,6,15.0
04/01/2000,R4,7,13.0
04/01/2000,R4,8,7.0
04/01/2000,R4,9,14.0
04/01/2000,R4,10,8.071944768609065
04/01/2000,R4,11,9.879188012312303
04/01/2000,R4,12,5.3903891172971345
04/01/2000,R5,1,8.0
04/01/2000,R5,2,10.0
04/01/2000,R5,3,13.0
04/01/2000,R5,4,20.0
04/01/2000,R5,5,20.0
04/01/2000,R5,6,15.0
04/01/2000,R5,7,15.0
04/01/2000,R5,8,15.0
04/01/2000,R5,9,15.0
04/01/2000,R5,10,10.0
04/01/2000,R5,11,8.0
04/01/2000,R5,12,15.209339885151122
04/01/2000,R5,13,5.765673391671503
04/01/2000,R5,14,7.2475916919134
04/01/2000,R5,15,13.134222388166856
04/01/2000,R6,1,5.0
04/01/2000,R6,2,5.0
04/01/2000,R6,3,7.0
